it_co_receita,it_no_receita
1370,ICMS Outros produtos primários,1370 - ICMS Outros produtos primários
1380,ICMS Produto Primário Importação,1380 - ICMS Produto Primário Importação
1390,ICMS Produto Primário Exportação,1390 - ICMS Produto Primário Exportação
1414,ICMS Serviço de Transporte Cargas,1414 - ICMS Serviço de Transporte Cargas
1426,ICMS Serviço de Transporte Passageiros,1426 - ICMS Serviço de Transporte Passageiros
1433,ICMS Serviço de Transporte Valores,1433 - ICMS Serviço de Transporte Valores
1448,ICMS Serviço de Transporte Outros,1448 - ICMS Serviço de Transporte Outros
1451,ICMS Serviço de Transporte Autônomo,1451 - ICMS Serviço de Transporte Autônomo
1512,ICMS Combustível e Lubrificantes Normal,1512 - ICMS Combustível e Lubrificantes Normal
1531,ICMS Combustível e Lubrificantes Substituição Tributária - Entrada,1531 - ICMS Combustível e Lubrificantes Substituição Tributária - Entrada
1545,ICMS Combustível e Lubrificantes Substituição Tributária - saída,1545 - ICMS Combustível e Lubrificantes Substituição Tributária - saída
1627,ICMS Serviço de Comunicação,1627 - ICMS Serviço de Comunicação
1635,ICMS Serviço de Energia elétrica,1635 - ICMS Serviço de Energia elétrica
1648,ICMS Termo de depósito,1648 - ICMS Termo de depósito
1657,ICMS Diferencial de Alíquota Produtor Rural,1657 - ICMS Diferencial de Alíquota Produtor Rural
1658,ICMS Antecipado,1658 - ICMS Antecipado
1659,ICMS Diferencial de Alíquota Simples Nacional,1659 - ICMS Diferencial de Alíquota Simples Nacional
1660,ICMS Diferencial de Alíquota Uso e Consumo,1660 - ICMS Diferencial de Alíquota Uso e Consumo
1661,ICMS Diferencial de Alíquota Ativo Permanente,1661 - ICMS Diferencial de Alíquota Ativo Permanente
1662,ICMS Denúncia espontânea,1662 - ICMS Denúncia espontânea
1663,ICMS Diferencial de Alíquota Álcool Protocolo ICMS 17/2004.,1663 - ICMS Diferencial de Alíquota Álcool Protocolo ICMS 17/2004.
1664,"ICMS Diferencial de Alíquota Saída ""R""","1664 - ICMS Diferencial de Alíquota Saída ""R"""
1665,"ICMS Substituição Antecipada ""R""","1665 - ICMS Substituição Antecipada ""R"""
1666,"ICMS Termo de Depósito Antecipado ""R""","1666 - ICMS Termo de Depósito Antecipado ""R"""
1712,ICMS Parcelamento de Imposto Declarado,1712 - ICMS Parcelamento de Imposto Declarado
1736,ICMS Parcelamento de Denúncia Espontânea,1736 - ICMS Parcelamento de Denúncia Espontânea
1742,ICMS Parcelamento Substituição Tributária - Entrada,1742 - ICMS Parcelamento Substituição Tributária - Entrada
1745,ICMS Parcelamento de Auto de Infração,1745 - ICMS Parcelamento de Auto de Infração
1758,ICMS Parcelamento Antecipado,1758 - ICMS Parcelamento Antecipado
1759,"ICMS Parcelamento d e AI Multa Acessória ""R"" .","1759 - ICMS Parcelamento d e AI Multa Acessória ""R"" ."
1760,"ICMS Parcelamento Produtos Primários ""R""","1760 - ICMS Parcelamento Produtos Primários ""R"""
1761,"ICMS Parcelamento Industria""R""","1761 - ICMS Parcelamento Industria""R"""
1762,"ICMS Parcelamento Comércio""R""","1762 - ICMS Parcelamento Comércio""R"""
1812,ICMS Auto d e Infração Fiscalização em Estabelecimentos,1812 - ICMS Auto d e Infração Fiscalização em Estabelecimentos
1819,ICMS Auto de Infração Fiscalização volante,1819 - ICMS Auto de Infração Fiscalização volante
1823,ICMS Auto d e Infração Fiscalização em Posto Fiscal,1823 - ICMS Auto d e Infração Fiscalização em Posto Fiscal
1835,Multa por descumprimento de obrigação Acessória,1835 - Multa por descumprimento de obrigação Acessória
1840,Auto de Infração de Multa por descumprimento de Obrigação Acessória,1840 - Auto de Infração de Multa por descumprimento de Obrigação Acessória
2120,IPVA,2120 - IPVA
2123,Cotas de IPVA,2123 - Cotas de IPVA
2245,Parcelamento de IPVA,2245 - Parcelamento de IPVA
2350,Multa Auto de Infração de IPVA,2350 - Multa Auto de Infração de IPVA
2351,Auto de Infração de IPVA,2351 - Auto de Infração de IPVA
2363,Parcelamento Multa de Auto de Infração de IPVA,2363 - Parcelamento Multa de Auto de Infração de IPVA
2464,Parcelamento de Auto de Infração de IPVA,2464 - Parcelamento de Auto de Infração de IPVA
2570,IPVA 1º Emplacamento,2570 - IPVA 1º Emplacamento
3112,ITCD,3112 - ITCD
3226,Parcelamento ITCD,3226 - Parcelamento ITCD
3341,Auto de Infração ITCD,3341 - Auto de Infração ITCD
3429,Parcelamento Auto de Infração ITCD,3429 - Parcelamento Auto de Infração ITCD
3997,Multa ITCD,3997 - Multa ITCD
4112,Contribuição Melhoria,4112 - Contribuição Melhoria
4226,Parcelamento Contribuição de Melhoria,4226 - Parcelamento Contribuição de Melhoria
5112,Divida Ativa ICMS (DECLARADO e LANÇADO),5112 - Divida Ativa ICMS (DECLARADO e LANÇADO)
5115,Divida Ativa Auto de Infração de ICMS,5115 - Divida Ativa Auto de Infração de ICMS
5119,Divida Ativa ICMS (DECL. E LANÇADO).,5119 - Divida Ativa ICMS (DECL. E LANÇADO).
5122,Divida Ativa de Auto de Infração de ICMS,5122 - Divida Ativa de Auto de Infração de ICMS
5131,Parcelamento de Divida Ativa de ICMS,5131 - Parcelamento de Divida Ativa de ICMS
5132,Parcelamento de Divida Ativa de ICMS Antecipado,5132 - Parcelamento de Divida Ativa de ICMS Antecipado
5134,Parcelamento de Divida Ativa de Auto de Infração ICMS,5134 - Parcelamento de Divida Ativa de Auto de Infração ICMS
5135,Divida Ativa de Multa de Auto de Infração de ICMS,5135 - Divida Ativa de Multa de Auto de Infração de ICMS
5136,Parcelamento de Divida Ativa de Multa de Auto de Infração de ICMS,5136 - Parcelamento de Divida Ativa de Multa de Auto de Infração de ICMS
5140,Divida Ativa de Multa de Auto de Infração de ICMS Obrigação Acessória,5140 - Divida Ativa de Multa de Auto de Infração de ICMS Obrigação Acessória
5141,Parc . Div A t. de Multa de Auto de Infração de ICMS Obrigação Acessória,5141 - Parc . Div A t. de Multa de Auto de Infração de ICMS Obrigação Acessória
5144,Parcelamento de Divida Ativa de Auto de Infração de ICMS,5144 - Parcelamento de Divida Ativa de Auto de Infração de ICMS
5158,Divida Ativa de ICMS Antecipado,5158 - Divida Ativa de ICMS Antecipado
5218,Dívida Ativa de IPVA,5218 - Dívida Ativa de IPVA
5226,Dívida Ativa Auto de Infração de IPVA,5226 - Dívida Ativa Auto de Infração de IPVA
5231,Dívida Ativa Multa Auto de Infração de IPVA,5231 - Dívida Ativa Multa Auto de Infração de IPVA
5243,Parcelamento Dívida Ativa de IPVA,5243 - Parcelamento Dívida Ativa de IPVA
5248,Parcelamento Dívida Ativa de Auto de Infração de IPVA,5248 - Parcelamento Dívida Ativa de Auto de Infração de IPVA
5254,Parcelamento Dívida Ativa de Multa de Auto de Infração de IPVA,5254 - Parcelamento Dívida Ativa de Multa de Auto de Infração de IPVA
5314,Divida Ativa de ITCD,5314 - Divida Ativa de ITCD
5327,Div ida Ativa Auto de Infração de ITCD,5327 - Div ida Ativa Auto de Infração de ITCD
5331,Divida Ativa de ITCD ajuizado,5331 - Divida Ativa de ITCD ajuizado
5339,Divida Ativa Auto de Infração ITCD,5339 - Divida Ativa Auto de Infração ITCD
5345,Parcelamento ITCD não ajuizado,5345 - Parcelamento ITCD não ajuizado
5352,Parcelamento Auto de Infração de ITCD,5352 - Parcelamento Auto de Infração de ITCD
5360,Parcelamento ITCD ajuizado,5360 - Parcelamento ITCD ajuizado
5412,Divida Ativa de Contribuição de Melhoria,5412 - Divida Ativa de Contribuição de Melhoria
5441,Divida Ativa Contribuição de Melhoria,5441 - Divida Ativa Contribuição de Melhoria
5456,Parcelamento Contribuição Melhoria,5456 - Parcelamento Contribuição Melhoria
5502,Dívida Ativa não Tributária,5502 - Dívida Ativa não Tributária
5508,Dívida Ativa não Tributária TJ/RO,5508 - Dívida Ativa não Tributária TJ/RO
5510,Dívida Ativa não Tributária Custas Processuais,5510 - Dívida Ativa não Tributária Custas Processuais
5511,Dívida Ativa não Tributária Multa do Tribunal de Contas,5511 - Dívida Ativa não Tributária Multa do Tribunal de Contas
5512,Dívida Ativa não Tributária Ressarcimento Glosa TCR/RO,5512 - Dívida Ativa não Tributária Ressarcimento Glosa TCR/RO
5513,Dívida Ativa não Tributária Saúde,5513 - Dívida Ativa não Tributária Saúde
5514,Dívida Ativa não Tributária Meio Ambiente,5514 - Dívida Ativa não Tributária Meio Ambiente
5515,Dívida Ativa não Tributária IDARON,5515 - Dívida Ativa não Tributária IDARON
5516,Dívida Ativa não Tributária Ressarcimento TJ/RO,5516 - Dívida Ativa não Tributária Ressarcimento TJ/RO
5520,Dívida Ativa não Tributária BOMBEIROS,5520 - Dívida Ativa não Tributária BOMBEIROS
5602,PARC. Dívida Ativa não Tributária,5602 - PARC. Dívida Ativa não Tributária
5610,PARC. Dívida Ativa não Tributária Custas P rocessuais,5610 - PARC. Dívida Ativa não Tributária Custas P rocessuais
5611,PARC. Dívida Ativa não Tributária Multa do TCR,5611 - PARC. Dívida Ativa não Tributária Multa do TCR
5612,PARC. Dívida Ativa não Tributária Ressarcimento Glosa TCR,5612 - PARC. Dívida Ativa não Tributária Ressarcimento Glosa TCR
5613,PARC. Dívida Ativa não Tributária Saúde,5613 - PARC. Dívida Ativa não Tributária Saúde
5614,PARC. Dívida Ativa não Tributária Meio Ambiente,5614 - PARC. Dívida Ativa não Tributária Meio Ambiente
5615,PARC. Dívida Ativa não Tributária IDARON,5615 - PARC. Dívida Ativa não Tributária IDARON
5616,PARC. Dívida Ativa não Tributária Ressarcimento TJ/RO,5616 - PARC. Dívida Ativa não Tributária Ressarcimento TJ/RO
5517,TJ-RO Dívida Ativa Custas Extra -Judiciais,5517 - TJ-RO Dívida Ativa Custas Extra -Judiciais
5518,TJ-RO Dívida Ativa Penalidade Pecuniária,5518 - TJ-RO Dívida Ativa Penalidade Pecuniária
6120,Taxa de serviço da administração fazendária,6120 - Taxa de serviço da administração fazendária
6127,Taxa ambiental,6127 - Taxa ambiental
6135,Taxa florestal,6135 - Taxa florestal
6146,Taxa de saúde pública,6146 - Taxa de saúde pública
6152,Taxa de segurança pública,6152 - Taxa de segurança pública
6164,Taxa de edição gráfica - imprensa oficial,6164 - Taxa de edição gráfica - imprensa oficial
6169,Taxa para aquisição de edita l de licitação,6169 - Taxa para aquisição de edita l de licitação
6175,Taxa SETRAPS - bem estar do menor,6175 - Taxa SETRAPS - bem estar do menor
6183,Taxa da Secretaria de educação e cultura,6183 - Taxa da Secretaria de educação e cultura
6187,Taxas outras taxas,6187 - Taxas outras taxas
6300,FIDER - Fundo de Desenvolvimento Industrial de Rondônia,6300 - FIDER - Fundo de Desenvolvimento Industrial de Rondônia
6301,FITHA - Fundo para a Infra-Estrutura de Transporte e Habitação,6301 - FITHA - Fundo para a Infra-Estrutura de Transporte e Habitação
6302,FGPPP - Fundo Garantidor de Parcerias Público-Privadas,6302 - FGPPP - Fundo Garantidor de Parcerias Público-Privadas
7124,Receita patrimonial,7124 - Receita patrimonial
7136,Receita industrial,7136 - Receita industrial
7149,Receita de transporte rodoviário,7149 - Receita de transporte rodoviário
7156,Receita de transporte hidroviário,7156 - Receita de transporte hidroviário
7160,Receita d e serviços hospitalares,7160 - Receita d e serviços hospitalares
7163,Receita de serviços de processamento de dados,7163 - Receita de serviços de processamento de dados
7169,Multa da secretaria de saúde - SESAU,7169 - Multa da secretaria de saúde - SESAU
7180,Multas diversas,7180 - Multas diversas
7185,Receitas de indenizações,7185 - Receitas de indenizações
7187,Receitas de restituição,7187 - Receitas de restituição
7192,Alienação de mercadorias apreendidas,7192 - Alienação de mercadorias apreendidas
7213,Alienação de bens móveis,7213 - Alienação de bens móveis
7225,Alienação de bens imóveis,7225 - Alienação de bens imóveis
7239,Outras receitas de capital,7239 - Outras receitas de capital
7245,Consignações diversas,7245 - Consignações diversas
7256,Cauções contratuais,7256 - Cauções contratuais
7260,Devolução suprimento de fundos e diárias,7260 - Devolução suprimento de fundos e diárias
7268,Outras receitas não especificadas,7268 - Outras receitas não especificadas
7310,BERON - Banco do Estado de Rondônia S/A,7310 - BERON - Banco do Estado de Rondônia S/A
7320,RONDONPOUP - Rondônia Crédito Imobiliário S/A,7320 - RONDONPOUP - Rondônia Crédito Imobiliário S/A
7330,CDHUR - Companhia de Desenvolvimento Urbano e Rural de Rondônia,7330 - CDHUR - Companhia de Desenvolvimento Urbano e Rural de Rondônia
7340,CEPRORD - Companhia de Processamento de Dados do Estado de Rondônia,7340 - CEPRORD - Companhia de Processamento de Dados do Estado de Rondônia
7350,"CAGERO - Companhia de Abastecimento , Armazéns Gerais e Entrepostos de Rondônia","7350 - CAGERO - Companhia de Abastecimento , Armazéns Gerais e Entrepostos de Rondônia"
7360,ENARO - Em presa de Navegação de Rondônia S/A,7360 - ENARO - Em presa de Navegação de Rondônia S/A
7370,LOTORO - Loteria Estadual de Rondônia,7370 - LOTORO - Loteria Estadual de Rondônia
8010,IRRF de servidores do Estado,8010 - IRRF de servidores do Estado
8011,IRRF de servidores do Ministério Público,8011 - IRRF de servidores do Ministério Público
8012,IRRF de servidores da ALE,8012 - IRRF de servidores da ALE
8013,IRRF de servidores do T J,8013 - IRRF de servidores do T J
8014,IRRF de servidores do TCE-RO,8014 - IRRF de servidores do TCE-RO
8025,IRRF de pessoa Física não servidor,8025 - IRRF de pessoa Física não servidor
8036,IRRF de pessoa Jurídica,8036 - IRRF de pessoa Jurídica
8101,JUCER - Atos de Empresário (Inscrição /Alteração/ Extinção),8101 - JUCER - Atos de Empresário (Inscrição /Alteração/ Extinção)
8102,JUCER - Via Adicional de Atos de Empresário,8102 - JUCER - Via Adicional de Atos de Empresário
8103,"JUCER - Atos de Sociedade Empresária , Exceto as S /A","8103 - JUCER - Atos de Sociedade Empresária , Exceto as S /A"
8104,"JUCER - Via Adicional de Atos de Sociedade Empresária , exceto as S /A","8104 - JUCER - Via Adicional de Atos de Sociedade Empresária , exceto as S /A"
8105,JUCER - Atos de Sociedade Por Ações e Empresa Pública,8105 - JUCER - Atos de Sociedade Por Ações e Empresa Pública
8106,JUCER - Via Adicional de Atos de Sociedade Por Ações e Empresa Pública,8106 - JUCER - Via Adicional de Atos de Sociedade Por Ações e Empresa Pública
8107,JUCER - Atos de Cooperativas,8107 - JUCER - Atos de Cooperativas
8108,JUCER - Via Adicional de Atos de Cooperativas,8108 - JUCER - Via Adicional de Atos de Cooperativas
8109,JUCER - Atos de Consórcio e Grupo de Sociedades,8109 - JUCER - Atos de Consórcio e Grupo de Sociedades
8110,JUCER - Via Adicional de Atos de Consórcio e Grupo de Sociedades,8110 - JUCER - Via Adicional de Atos de Consórcio e Grupo de Sociedades
8111,JUCER - Atos de Proteção ao Nome Empresarial,8111 - JUCER - Atos de Proteção ao Nome Empresarial
8112,JUCER - Via Adicional de Atos de Proteção ao Nome Empresarial,8112 - JUCER - Via Adicional de Atos de Proteção ao Nome Empresarial
8113,JUCER - Documentos de Arquivamento . Obrigatório ou de Interesse da Sociedade Empresária /Empresário /Sócio,8113 - JUCER - Documentos de Arquivamento . Obrigatório ou de Interesse da Sociedade Empresária /Empresário /Sócio
8114,JUCER - Documentos de Interesse de Leiloeiro/Tradutor Público lntérprete Comercial e Administrador de Armazém Geral,8114 - JUCER - Documentos de Interesse de Leiloeiro/Tradutor Público lntérprete Comercial e Administrador de Armazém Geral
8115,JUCER - Via Adicional dos Documentos de Códigos 8113 e 8114,8115 - JUCER - Via Adicional dos Documentos de Códigos 8113 e 8114
8116,JUCER - Atos de Leiloeiro/Tradutor. Público/Administrador de Armazém Gera l,8116 - JUCER - Atos de Leiloeiro/Tradutor. Público/Administrador de Armazém Gera l
8117,JUCER - Pedido de Reconsideração,8117 - JUCER - Pedido de Reconsideração
8118,JUCER - Recurso ao Plenário,8118 - JUCER - Recurso ao Plenário
8119,JUCER - Pesquisa de Nome Empresarial Idêntico ou Semelhante,8119 - JUCER - Pesquisa de Nome Empresarial Idêntico ou Semelhante
8120,JUCER - Consulta a Documentos,8120 - JUCER - Consulta a Documentos
8121,JUCER - Certidão Simplificada,8121 - JUCER - Certidão Simplificada
8122,JUCER - Via Adicional de Certidão Simplificada,8122 - JUCER - Via Adicional de Certidão Simplificada
8123,JUCER - Adicional Por Entrega Via Postal da Certidão Simplificada,8123 - JUCER - Adicional Por Entrega Via Postal da Certidão Simplificada
8124,JUCER - Certidão de Inteiro Teor Tipo Empresário,8124 - JUCER - Certidão de Inteiro Teor Tipo Empresário
8125,"JUCER - Certidão de Inteiro Teor Tipo Sociedades Empresárias, exceto as S/A","8125 - JUCER - Certidão de Inteiro Teor Tipo Sociedades Empresárias, exceto as S/A"
8126,JUCER - Certidão de Inteiro Teor Tipo Sociedades Por Ações e Em presa Pública,8126 - JUCER - Certidão de Inteiro Teor Tipo Sociedades Por Ações e Em presa Pública
8127,JUCER - Certidão de Inteiro Teor Tipo Cooperativa.,8127 - JUCER - Certidão de Inteiro Teor Tipo Cooperativa.
8128,JUCER - Adiciona l Por Entrega Via Postal de Certidão de Inteiro Teor,8128 - JUCER - Adiciona l Por Entrega Via Postal de Certidão de Inteiro Teor
8129,JUCER - Certidão Específica,8129 - JUCER - Certidão Específica
8130,JUCER - Via Adicional de Certidão Específica,8130 - JUCER - Via Adicional de Certidão Específica
8131,JUCER - Adiciona l Por Entrega Via Postal da Certidão Específica,8131 - JUCER - Adiciona l Por Entrega Via Postal da Certidão Específica
8132,JUCER - Autenticação de Instrumentos de Escrituração de Empresário/ Sociedade Empresaria e de Leiloeiro/Tradutor Público/Administrador de Armazém Geral,8132 - JUCER - Autenticação de Instrumentos de Escrituração de Empresário/ Sociedade Empresaria e de Leiloeiro/Tradutor Público/Administrador de Armazém Geral
8133,JUCER - Expedição de C arteira de Exercício Profissional,8133 - JUCER - Expedição de C arteira de Exercício Profissional
8134,"JUCER - Atos de Transformação, Incorporação, Fusão e Cisão","8134 - JUCER - Atos de Transformação, Incorporação, Fusão e Cisão"
8135,JUCER - Registro de Escritura de Emissão de Debêntures,8135 - JUCER - Registro de Escritura de Emissão de Debêntures
8136,JUCER - Serviços Integrados Com Outras Juntas Comerciais,8136 - JUCER - Serviços Integrados Com Outras Juntas Comerciais
8137,JUCER - Informações do Cadastro Estadual de Empresas Mercantis,8137 - JUCER - Informações do Cadastro Estadual de Empresas Mercantis
8138,JUCER - Serviços de Divulgação,8138 - JUCER - Serviços de Divulgação
8139,JUCER - REDESIM,8139 - JUCER - REDESIM
8146,JUCER - Código Reserva,8146 - JUCER - Código Reserva
8301,"IDARON - FESA - Abate Bov/Bub Macho (7,5% Upf) e Fêmea (5,0% Upf) por Cabeça","8301 - IDARON - FESA - Abate Bov/Bub Macho (7,5% Upf) e Fêmea (5,0% Upf) por Cabeça"
8302,IDARON - GTA - Comercialização Bov/Bib/Ovi/Cap/Sui,8302 - IDARON - GTA - Comercialização Bov/Bib/Ovi/Cap/Sui
8303,IDARON - GTA - Comerc. Bov/Bub/Ovi/Cap/Sui Tang,8303 - IDARON - GTA - Comerc. Bov/Bub/Ovi/Cap/Sui Tang
8304,IDARON - GTA - Comerc. Bov/Bub/Ovi/Cap/Sui,8304 - IDARON - GTA - Comerc. Bov/Bub/Ovi/Cap/Sui
8305,IDARON - GTA - Aves Ornament/Felin.Can.Outros,8305 - IDARON - GTA - Aves Ornament/Felin.Can.Outros
8306,IDARON - GTA - A Cada 1000 Pintos de 1 Dia e Fr.,8306 - IDARON - GTA - A Cada 1000 Pintos de 1 Dia e Fr.
8307,IDARON - FESA - Ind Frig Abate de B ov/Bub até 2.500 Cab/Mes,8307 - IDARON - FESA - Ind Frig Abate de B ov/Bub até 2.500 Cab/Mes
8308,IDARON - FESA - Vigilância Sanitária em Leilões,8308 - IDARON - FESA - Vigilância Sanitária em Leilões
8309,IDARON - Desinfecção por Veiculo Tipo Caminhão,8309 - IDARON - Desinfecção por Veiculo Tipo Caminhão
8310,IDARON - Desinfecção por Veiculo Tipo Carreta,8310 - IDARON - Desinfecção por Veiculo Tipo Carreta
8311,IDARON - Emissão de Certificado de Vacinação,8311 - IDARON - Emissão de Certificado de Vacinação
8312,"IDARON - Cis Modelo ""E"" Por Subprodutos de Or.","8312 - IDARON - Cis Modelo ""E"" Por Subprodutos de Or."
8313,IDARON - Certificado de Transito 1 a 10 C ouro,8313 - IDARON - Certificado de Transito 1 a 10 C ouro
8314,IDARON - Certificado de Transito 11 a 50 C ouro,8314 - IDARON - Certificado de Transito 11 a 50 C ouro
8315,IDARON - Certificado de Transito mais de 50 C,8315 - IDARON - Certificado de Transito mais de 50 C
8316,IDARON - Multas A plicadas na Defesa Sanitária,8316 - IDARON - Multas A plicadas na Defesa Sanitária
8318,IDARON - Multas A plicadas na Inspeção de Prod.,8318 - IDARON - Multas A plicadas na Inspeção de Prod.
8319,IDARON - Multas A plicadas na Classificação,8319 - IDARON - Multas A plicadas na Classificação
8320,IDARON - Credenciamento de Empresas de Evento,8320 - IDARON - Credenciamento de Empresas de Evento
8321,IDARON - Registro e Licença de E stabelecimento,8321 - IDARON - Registro e Licença de E stabelecimento
8322,IDARON - Expedição de Certidão para Cadastramento,8322 - IDARON - Expedição de Certidão para Cadastramento
8323,IDARON - Taxa de Despesa de Transporte de Mat,8323 - IDARON - Taxa de Despesa de Transporte de Mat
8324,IDARON - Autorização para Aquisição de Mudas,8324 - IDARON - Autorização para Aquisição de Mudas
8325,IDARON - Certificado Fitosanitário de Origem,8325 - IDARON - Certificado Fitosanitário de Origem
8326,IDARON - Atestado de Tratamento de Vegetais,8326 - IDARON - Atestado de Tratamento de Vegetais
8327,IDARON - Atestado de Destruição de Restos Cul.,8327 - IDARON - Atestado de Destruição de Restos Cul.
8328,IDARON - Cadastro de Viveiro,8328 - IDARON - Cadastro de Viveiro
8329,IDARON - Amostra e Análise de Sem entes de Gr.,8329 - IDARON - Amostra e Análise de Sem entes de Gr.
8330,IDARON - Análise ou Exame de Produtos Vegetais,8330 - IDARON - Análise ou Exame de Produtos Vegetais
8331,IDARON - Amostra e Analise de Sem entes Forage,8331 - IDARON - Amostra e Analise de Sem entes Forage
8332,IDARON - Atestado de Expurgo por Tonelada,8332 - IDARON - Atestado de Expurgo por Tonelada
8333,IDARON - Permissão de Transito de Vegetais,8333 - IDARON - Permissão de Transito de Vegetais
8334,IDARON - Credenciamento Comercial para Expurg.,8334 - IDARON - Credenciamento Comercial para Expurg.
8335,IDARON - Cadastro Agrotóxico,8335 - IDARON - Cadastro Agrotóxico
8336,IDARON - Registro de Em presas e Prestadores d.,8336 - IDARON - Registro de Em presas e Prestadores d.
8337,IDARON - Vistoria para Verificação destruição,8337 - IDARON - Vistoria para Verificação destruição
8338,IDARON - Alteração de Cadastro,8338 - IDARON - Alteração de Cadastro
8339,IDARON - TESTE Tetrazólico,8339 - IDARON - TESTE Tetrazólico
8340,IDARON - Cadastro de Estabelecimento Comercial,8340 - IDARON - Cadastro de Estabelecimento Comercial
8341,IDARON - Renovação de Cadastro de Produto,8341 - IDARON - Renovação de Cadastro de Produto
8342,IDARON - Renovação de Cadastro de Estabelecimento,8342 - IDARON - Renovação de Cadastro de Estabelecimento
8343,IDARON - Classificação P revia com Emissão de Laudo,8343 - IDARON - Classificação P revia com Emissão de Laudo
8344,IDARON - Taxa para Transporte de M ateria l Par,8344 - IDARON - Taxa para Transporte de M ateria l Par
8345,"IDARON - FESA - Abate O vi/Cap/Sui - 5,0% Upf - por Lote ou F ração de 10 Cabeças","8345 - IDARON - FESA - Abate O vi/Cap/Sui - 5,0% Upf - por Lote ou F ração de 10 Cabeças"
8346,IDARON - FESA - Ind Frig Abate de Bov/Bub de 2.501 a 5.000 Cab/Mes,8346 - IDARON - FESA - Ind Frig Abate de Bov/Bub de 2.501 a 5.000 Cab/Mes
8347,IDARON - FESA - Ind Frig Abate de Bov/Bub de 5.001 a 10.000 Cab/Mes,8347 - IDARON - FESA - Ind Frig Abate de Bov/Bub de 5.001 a 10.000 Cab/Mes
8348,IDARON - FESA - Ind Frig Abate de Bov/Bub de 10.001 a 15.000 Cab/Mes,8348 - IDARON - FESA - Ind Frig Abate de Bov/Bub de 10.001 a 15.000 Cab/Mes
8349,IDARON - FESA - Ind Frig A bate de Bov/Bub acima de 15.000 Cab/Mes,8349 - IDARON - FESA - Ind Frig A bate de Bov/Bub acima de 15.000 Cab/Mes
